sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,pl_ratmom,pl_ratmom_err
3,6,13.673694,2.4e-05,0.1039,0.0013,2.388,0.036,0.01982,0.01982,0.20500000000000002,0.0925482657157258,28.37,0.3,0.0278,0.0003,5266.0,64.0,0.79,0.01,0.8,0.04,-0.2,0.04,4.54,0.03,8.1,4.0,2.5,1.0,2.3653959276018102e-05,2.368350826852098e-05
1,1,2.87589,2e-06,0.04448860486242028,0.0034463003767280834,8.295,0.224,0.38,0.06,0.0,0.0,6.8,0.52,0.053933647114952334,0.0018541893655369044,6179.0,15.0,1.41,0.03,1.42,0.33,0.32,0.32,4.37,0.04,2.4,0.8,7.5,0.6,0.0002554967815945447,7.178408828716851e-05
2,1,2.21857567,1.5e-07,0.030777241044517692,0.001038894212474097,12.666,0.112,1.13,0.08,0.0,0.0,8.84,0.27,0.15482487278999568,0.0024770471687688986,5052.0,16.0,0.75,0.01,0.79,0.08,-0.02,0.02,4.49,0.05,2.4,0.8,7.5,0.6,0.0013656566813677758,0.00016873961133991828
1,1,3.52474859,3.8e-07,0.04856890276209718,0.001184607384446538,15.581,0.224,0.73,0.04,0.0,0.0,8.81,0.19,0.12003582390265291,0.00265479849379543,6091.0,10.0,1.19,0.02,1.23,0.09,0.01,0.01,4.45,0.02,2.4,0.8,7.5,0.6,0.0005666409152779311,5.1798528513583674e-05
1,1,18.712024,2.3e-05,0.145,0.003,9.073,0.181,0.23314,0.017305,0.0,0.0,24.551264856446632,0.6383623127138673,0.0657,0.00053,6128.0,83.5,1.27,0.02,1.16,0.03,0.043,0.062,4.3,0.02,2.9,0.8500000000000001,7.5,0.6,0.00019188851614916524,1.5082869574839756e-05
1,2,6.9594731,2.2e-06,0.0748,0.0017000000000000001,9.987,0.22949999999999998,0.23017562942720624,0.005289406924356046,0.064,0.118,11.66,0.255,0.06644,0.00145,5675.0,75.0,1.38,0.06,1.22,0.05,0.05,0.08,3.879192832336522,0.3729091430241101,0.017,0.002,54.2,0.7,0.00018013151030762007,8.463748108259865e-06
1,1,3.48456408,5.5e-07,0.0287,0.0012,3.44,0.12,0.07709,0.017145,0.428,0.0495,21.09,0.58,0.1075,0.0018,3207.0,58.0,0.29,0.01,0.26,0.01,0.15,0.03,4.94,0.03,0.73,0.051000000000000004,8.8,0.6,0.00028308371040723987,6.389301037758648e-05
2,1,3.2588321,1.9e-06,0.04217,0.00024,13.339,0.224,0.73,0.04,0.066,0.022,10.51,0.15,0.14188,0.00062,5358.0,38.0,0.86,0.01,0.94,0.02,0.16,0.03,4.54,0.01,2.6,1.2,3.7,0.5,0.0007414556657360162,4.3583045379054734e-05
1,1,5.424865,3.3e-05,0.049807314234587736,0.002668248984498265,5.04,0.355,3.7,3.7,0.0,0.0,10.4,0.385,0.0432,0.0007999999999999999,3540.0,70.0,1.05,0.07,0.56,0.09,0.05,0.08,4.087607698667337,0.8535846828245145,0.009,0.001,8.2,1.8,0.006308177117000647,0.006389124958086378
1,1,2.9956348,2e-07,0.0442,0.002,13.75,0.585,1.236,0.13,0.010685061461662216,0.010685061461662216,6.68,0.1,0.0887,0.0005,6168.0,61.0,1.42,0.055,1.16,0.04,0.01,0.035,4.2,0.03,2.4,0.8,7.5,0.6,0.0010173037915431424,0.00011260165679980168
1,5,1114.0,1114.0,2.216272916514736,1.4781762286127291,13.675,0.56,1.236,0.13,0.20500000000000002,0.0925482657157258,355.6542731690883,237.34251401143837,0.0256,0.0006000000000000001,6226.0,43.0,1.34,0.03,1.17,0.07,0.05,0.08,3.9198466338205216,0.2929260572204718,2.4,0.8,7.5,0.6,0.0010086088873419192,0.00012204553770622777
1,1,8.2669928,6.8500000000000005e-06,0.0833,0.00775,3.59,0.09,0.05011778208911993,0.0012564346484737587,0.010685061461662216,0.010685061461662216,18.48,1.71,0.0339,0.00075,5636.0,50.5,0.97,0.01,1.05,0.02,0.23,0.035,4.49,0.01,2.4,0.8,7.5,0.6,4.557143727991513e-05,1.434811861168952e-06
1,1,6.569188,3.1e-05,0.068,0.001,13.563,1.009,0.93,0.04,0.0,0.0,14.1,0.2,0.117,0.001,5585.0,120.0,1.06,0.065,0.96,0.05,0.1,0.1,4.4,0.2,9.8,4.0,3.6,1.0,0.0009249151583710409,6.24752527531246e-05
1,1,11.168454,2.3e-05,0.10356,0.0007899999999999999,11.209,0.2355,0.398,0.037,0.258,0.025,19.25,0.29000000000000004,0.08868,0.00043000000000000004,6154.0,60.0,1.16,0.02,1.19,0.03,0.1,0.04,4.38,0.02,1.43,0.7849999999999999,4.16,0.282,0.0003193201262405415,3.07576844401535e-05
1,1,11.8143,0.0002,0.1066,0.0013,7.398,0.325,0.11,0.0175,0.22,0.1125,13.11,0.37,0.0389,0.00115,5576.0,74.5,1.75,0.05,1.16,0.04,0.421,0.05,4.02,0.03,7.53,1.145,7.5,0.6,9.053674520205961e-05,1.4738030122352775e-05
2,1,6.180235,1.4e-05,0.07229,0.000745,11.781,0.493,3.0,1.15,0.010685061461662216,0.010685061461662216,9.8,0.17,0.0681,0.00255,6202.0,51.0,1.59,0.03,1.32,0.04,0.141,0.0835,4.16,0.02,3.02,0.45,74.92,0.61,0.0021698889345948165,0.0008343856912004305
3,2,9.21165,0.000335,0.0923,0.0066,3.06,0.16,0.0343,0.0343,0.0,0.0,13.15,0.675,0.019,0.00028,6302.0,120.0,1.51,0.07,1.19,0.07500000000000001,-0.06,0.1,4.23,0.1,4.0,1.2000000000000002,6.5,1.0,2.7519297311684853e-05,2.757389890500231e-05
3,2,48.36685,0.000405,0.305,0.017,11.276,0.56,0.774,0.047,0.0,0.0,43.5,1.2,0.06848,0.000445,6302.0,120.0,1.51,0.07,1.19,0.07500000000000001,-0.06,0.1,4.23,0.1,4.0,1.2000000000000002,6.5,1.0,0.0006209893912316058,5.4348182228793425e-05
1,1,1.217514,1.5e-05,0.02466,0.00016,12.442,0.303,27.23,0.49,0.0099,0.00845,3.632033174431587,0.1022600942785576,0.07812676696970235,0.0028638318652709567,6518.0,50.0,1.46,0.04,1.32,0.03,0.05,0.08,3.80070105976536,0.22546098285769223,2.4,0.8,56.0,2.0,0.01969535856300562,0.000570942546720903
1,2,7.8457,0.0002,0.08686038262498608,0.009379290258764392,14.572,1.009,0.52,0.12,0.22,0.11,10.83,0.89,0.07722102660355395,0.00756840697633257,6102.0,43.0,1.73,0.12,1.42,0.46,-0.28,0.28,4.07,0.06,2.4,0.8,7.5,0.6,0.00034962717481358747,0.00013905931765212276
