System,lambda,lambda_err,psi,psi_err,sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err
TOI-3884 b,75.0,10.0,,,1,1,4.5445828,9.8e-06,0.0361,0.0008,6.43,0.2,0.10254,0.02311,0.06,0.05,6.29,0.84,441.0,15.0,25.9,0.835,0.197,0.002,,3180.0,88.0,0.3,0.01,0.3,0.02,0.04,0.12,,,4.97,0.05,,,3.59,0.92,,
TOI-4201 b,3.0,3.45,21.3,12.65,1,1,3.5819194,1.1e-06,0.04,0.001,13.675,0.448,2.48,0.09,0.041,0.015,45.2,3.2,725.0,20.0,13.694,0.151,0.1955,0.0008,M1.0+/-0.5,3794.0,79.0,0.63,0.02,0.61,0.02,0.52,0.08,-1.119,0.0225,4.64,0.03,1.4,0.6499999999999999,,,17.3,0.4
TOI-4379 b,1.0,25.5,,,1,1,3.25352,2e-05,,,16.69,0.886,1.113,0.071,0.018,0.0235,,,,,4.63,0.385,0.077,0.002,,6020.0,100.0,1.98,0.04,1.37,0.07,0.16,0.06,0.637,0.0265,3.93,0.03,4.51,0.8049999999999999,5.9,1.0,,
TOI-4641 b,1.41,0.76,2.4,1.3,1,1,22.09341,4.9e-05,0.173,0.015,8.183,0.3025,3.87,3.87,0.074,0.074,,,,,21.53,0.515,0.042,0.0009,,6560.0,320.0,1.72,0.04,1.41,0.065,-0.09,0.145,0.695,0.099,4.11,0.69,2.69,0.975,86.3,0.995,,
TOI-5126 b,1.0,48.0,,,1,2,5.4588385,7.1e-06,0.06519,0.000845,4.74,0.15000000000000002,,,0.0,0.0,467.0,41.5,1442.0,43.0,11.32,0.29500000000000004,0.03498,0.0006249999999999999,F V,6150.0,120.0,1.24,0.03,1.24,0.05,0.18,0.13,0.299,0.0385,4.22,0.055,0.8,1.75,,,,
TOI-5398 b,3.0,5.5,13.2,8.2,1,2,10.590547,1.15e-05,0.098,0.005,10.3,0.4,0.18469,0.017775,0.13,0.13,,,947.0,28.0,20.0,0.6,0.0899,0.00065,G V,6000.0,75.0,1.05,0.01,1.15,0.01,0.09,0.06,,,4.44,0.1,0.65,0.15,7.5,0.6,7.34,0.05
TOI-6029 b,14.0,15.0,,,1,1,5.7987,0.0004,,,14.392,1.098,1.635,0.032,0.091,0.016,,,,,7.17,0.35,0.056,0.00074,,6223.0,100.0,2.34,0.06,1.55,0.06,0.37,0.06,0.799,0.0195,3.89,0.02,2.31,0.385,10.4,1.0,,
TRAPPIST-1 b,15.0,28.0,,,1,7,1.510826,6e-06,0.01154,0.0001,1.116,0.013000000000000001,0.00432,0.00022,,,4.15,0.16,,,20.843,0.1245,0.0859,0.00037,,2566.0,26.0,0.12,0.0,0.09,0.0,,,-3.257,0.015,5.24,0.01,,,,,,
TRAPPIST-1 e,9.0,48.0,,,1,7,6.101013,3.5e-05,0.02925,0.0025,0.92,0.0125,0.00218,7e-05,,,0.65,0.03,,,52.855,0.3155,0.07079,0.00055,,2566.0,26.0,0.12,0.0,0.09,0.0,,,-3.257,0.015,5.24,0.01,,,,,,
TRAPPIST-1 f,21.0,32.0,,,1,7,9.20754,3.2e-05,0.03849,0.00033,1.045,0.0125,0.00327,0.0001,,,0.37,0.01,,,69.543,0.41500000000000004,0.0804,0.00047,,2566.0,26.0,0.12,0.0,0.09,0.0,,,-3.257,0.015,5.24,0.01,,,,,,
