System,lambda,lambda_err,psi,psi_err,Ephemeris_reference,sy_snum,sy_pnum,cb_flag,pl_refname,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_refname,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err,rowupdate
TOI-1268 b,40.0,8.55,,,2022ApJ...926L...7D,1,1,0,<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>,8.1577094,4.5e-06,0.0711,0.00605,9.1,0.6,0.30331,0.025955,0.105,0.0395,,,918.9,30.299999999999997,16.62,0.905,0.091,0.001,<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>,K1-K2,5300.0,100.0,0.92,0.06,0.96,0.04,0.36,0.06,,,4.55,0.1,0.245,0.135,4.12,1.0,10.9,0.5,2022-03-28
TOI-1431 b,155.0,15.0,,,2021A+A...654A..73S,1,1,0,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>,2.650237,3e-06,0.046,0.002,16.701,0.56,3.12,0.18,0.0022,0.0023,5300.0,485.0,2370.0,70.0,5.15,0.05,0.07955,0.00058,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>,Am C,7690.0,325.0,1.92,0.07,1.9,0.09,0.09,0.03,1.068,0.0625,4.15,0.04,0.29,0.255,6.0,0.2,,,2021-10-11
TOI-1478 b,6.2,5.7,,,2022AJ....164..104R,1,1,0,<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>,10.180249,1.5e-05,0.0903,0.00155,11.882,0.4425,0.851,0.0495,0.024,0.0245,,,918.0,11.0,18.54,0.6499999999999999,0.104,0.0015,<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>,,5597.0,82.5,1.05,0.03,0.95,0.05,0.078,0.069,-0.013,0.016,4.37,0.035,9.1,3.5,4.3,0.5,,,2021-02-25
TOI-1518 b,117.24,0.665,,,arXiv:2402.17325,1,1,0,<a refstr=CABOT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..218C/abstract target=ref>Cabot et al. 2021</a>,1.902603,1.1e-05,0.0389,0.0011,21.017,0.594,2.3,2.3,0.01,0.01,,,2492.0,38.0,4.291,0.059,0.0988,0.00135,<a refstr=CABOT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..218C/abstract target=ref>Cabot et al. 2021</a>,F0,7300.0,100.0,1.95,0.05,1.79,0.26,-0.1,0.12,,,4.1,0.2,,,85.1,6.3,,,2021-09-09
TOI-1670 c,0.3,2.2,,,2023ApJ...959L...1H,1,2,0,<a refstr=TRAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220304334T/abstract target=ref>Tran et al. 2022</a>,40.74976,0.000116,0.249,0.005,11.063,0.28,0.63,0.08499999999999999,0.09,0.045,,,684.0,9.0,40.68,0.66,0.077,0.002,<a refstr=TRAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220304334T/abstract target=ref>Tran et al. 2022</a>,F7 V,6170.0,61.0,1.32,0.02,1.21,0.02,0.09,0.07,,,4.29,0.11,2.53,0.43,9.2,0.6,,,2022-03-16
TOI-1842 b,68.0,18.0,73.0,14.5,2023ApJ...949L..35H,1,1,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,9.5739181,9.9e-06,0.1,0.002,12.349,0.2865,0.28128,0.02454,0.276,0.064,,,1199.55036721,21.83179713275,,,0.05571,0.000745,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,6039.0,91.0,2.03,0.04,1.46,0.035,0.332,0.06,0.695,0.026,3.99,0.02,2.5,0.35,,,,,2024-07-23
TOI-1859 b,38.9,2.75,,,arXiv:2305.16495,1,1,0,<a refstr=DONG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230516495D/abstract target=ref>Dong et al. 2023</a>,63.48347,0.0001,0.337,0.039999999999999994,9.752,0.785,,,0.57,0.14,,,,,53.7,4.35,0.066,0.00045,<a refstr=DONG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230516495D/abstract target=ref>Dong et al. 2023</a>,,6341.0,69.0,1.36,0.11,1.29,0.06,0.12,0.055,,,4.29,0.07,1.41,1.165,12.49,0.33,,,2023-06-12
TOI-1937 A b,4.0,3.5,,,2023ApJS..265....1Y,2,1,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,0.94667944,4.7e-07,0.01932,0.00037,13.978,0.6779999999999999,2.01,0.165,0.0,0.0,3230.0,216.5,2097.0,35.5,3.85,0.095,,,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,5814.0,92.0,1.08,0.025,1.07,0.06,0.196,0.084,0.08,0.0315,4.4,0.03,3.6,2.7,,,,,2023-02-27
TOI-2025 b,10.0,8.5,,,arXiv:2408.10038,1,1,0,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,8.8720982,7.7e-06,0.0892,0.0020499999999999997,11.893,0.3585,3.6,0.33,0.394,0.036500000000000005,,,1166.0,17.0,13.12,0.48,0.07469,0.00047999999999999996,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,,5977.0,78.5,1.46,0.04,1.2,0.08,0.15,0.10500000000000001,0.387,0.0205,4.19,0.04,4.5,1.9,,,,,2023-03-15
TOI-2076 b,3.0,15.5,18.0,9.5,2023ApJ...944L..41F,1,3,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,10.355096,1.8e-05,0.088,0.002,2.771,0.119,0.05066,0.025955,0.0,0.0,,,687.676490765,13.736011164499999,,,0.03191,0.00092,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5192.0,59.5,0.8,0.025,0.86,0.02,0.02,0.058499999999999996,-0.378,0.037,4.57,0.03,2.7,2.75,,,,,2024-07-22
TOI-2109 b,1.7,1.7,,,2021AJ....162..256W,1,1,0,<a refstr=WONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..256W/abstract target=ref>Wong et al. 2021</a>,0.67247414,1.55e-07,0.01791,0.00065,15.098,0.527,5.02,0.75,,,,,3646.0,88.0,2.268,0.021,0.08155,0.00022,<a refstr=WONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..256W/abstract target=ref>Wong et al. 2021</a>,F,6540.0,160.0,1.7,0.06,1.45,0.07,0.068,0.066,0.673,0.03,4.14,0.045,1.77,0.78,81.2,1.6,,,2021-12-13
TOI-2524 b,10.0,20.5,,,arXiv:2408.10038,1,1,0,<a refstr=EBERHARDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..271E/abstract target=ref>Eberhardt et al. 2023</a>,7.18585,1e-05,0.073,0.0007,11.209,0.28,0.64,0.04,0.0,0.0,,,1100.0,20.0,14.3,0.25,0.092,0.001,<a refstr=EBERHARDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..271E/abstract target=ref>Eberhardt et al. 2023</a>,,5831.0,80.0,1.12,0.02,1.01,0.03,0.06,0.05,0.116,0.0235,4.34,0.03,6.7,1.65,2.2,0.5,,,2023-12-14
TOI-3362 b,1.2,2.75,,,2023ApJ...958L..20E,1,1,0,<a refstr=DONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...920L..16D/abstract target=ref>Dong et al. 2021</a>,18.09547,3e-05,0.153,0.0025,12.801,0.471,5.029,0.657,0.815,0.0275,,,,,,,,,<a refstr=DONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...920L..16D/abstract target=ref>Dong et al. 2021</a>,,6532.0,87.0,1.83,0.055,1.45,0.07,0.017,0.053000000000000005,0.739,0.027,4.07,0.03,2.14,0.5900000000000001,20.0,4.1,,,2021-10-19
TOI-3884 b,75.0,10.0,,,2023AJ....165..249L,1,1,0,<a refstr=LIBBY_ROBERTS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..249L/abstract target=ref>Libby-Roberts et al. 2023</a>,4.5445828,9.8e-06,0.0361,0.0008,6.43,0.2,0.10254,0.02311,0.06,0.05,6.29,0.84,441.0,15.0,25.9,0.835,0.197,0.002,<a refstr=LIBBY_ROBERTS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..249L/abstract target=ref>Libby-Roberts et al. 2023</a>,,3180.0,88.0,0.3,0.01,0.3,0.02,0.04,0.12,,,4.97,0.05,,,3.59,0.92,,,2024-08-30
TOI-4201 b,3.0,3.45,21.3,12.65,2024ApJ...969L..24G,1,1,0,<a refstr=GAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230707329G/abstract target=ref>Gan et al. 2023</a>,3.5819194,1.1e-06,0.04,0.001,13.675,0.448,2.48,0.09,0.041,0.015,45.2,3.2,725.0,20.0,13.694,0.151,0.1955,0.0008,<a refstr=GAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230707329G/abstract target=ref>Gan et al. 2023</a>,M1.0+/-0.5,3794.0,79.0,0.63,0.02,0.61,0.02,0.52,0.08,-1.119,0.0225,4.64,0.03,1.4,0.6499999999999999,,,17.3,0.4,2023-09-19
TOI-4379 b,1.0,25.5,,,2024AJ....168...81S,1,1,0,<a refstr=SAUNDERS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...81S/abstract target=ref>Saunders et al. 2024</a>,3.25352,2e-05,,,16.69,0.886,1.113,0.071,0.018,0.0235,,,,,4.63,0.385,0.077,0.002,<a refstr=SAUNDERS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...81S/abstract target=ref>Saunders et al. 2024</a>,,6020.0,100.0,1.98,0.04,1.37,0.07,0.16,0.06,0.637,0.0265,3.93,0.03,4.51,0.8049999999999999,5.9,1.0,,,2024-08-16
TOI-4641 b,1.41,0.76,2.4,1.3,2024MNRAS.527.10955,1,1,0,<a refstr=BIERYLA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231203971B/abstract target=ref>Bieryla et al. 2023</a>,22.09341,4.9e-05,0.173,0.015,8.183,0.3025,3.87,3.87,0.074,0.074,,,,,21.53,0.515,0.042,0.0009,<a refstr=BIERYLA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231203971B/abstract target=ref>Bieryla et al. 2023</a>,,6560.0,320.0,1.72,0.04,1.41,0.065,-0.09,0.145,0.695,0.099,4.11,0.69,2.69,0.975,86.3,0.995,,,2023-12-14
TOI-5126 b,1.0,48.0,,,arXiv:2404.06504,1,2,0,<a refstr=FAIRNINGTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2953F/abstract target=ref>Fairnington et al. 2023</a>,5.4588385,7.1e-06,0.06519,0.000845,4.74,0.15000000000000002,,,0.0,0.0,467.0,41.5,1442.0,43.0,11.32,0.29500000000000004,0.03498,0.0006249999999999999,<a refstr=FAIRNINGTON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2953F/abstract target=ref>Fairnington et al. 2023</a>,F V,6150.0,120.0,1.24,0.03,1.24,0.05,0.18,0.13,0.299,0.0385,4.22,0.055,0.8,1.75,,,,,2023-10-21
TOI-5398 b,3.0,5.5,13.2,8.2,2024A+A...684L..17M,1,2,0,<a refstr=MANTOVAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231016888M/abstract target=ref>Mantovan et al. 2023</a>,10.590547,1.15e-05,0.098,0.005,10.3,0.4,0.18469,0.017775,0.13,0.13,,,947.0,28.0,20.0,0.6,0.0899,0.00065,<a refstr=MANTOVAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231016888M/abstract target=ref>Mantovan et al. 2023</a>,G V,6000.0,75.0,1.05,0.01,1.15,0.01,0.09,0.06,,,4.44,0.1,0.65,0.15,7.5,0.6,7.34,0.05,2023-11-07
TOI-6029 b,14.0,15.0,,,2024AJ....168...81S,1,1,0,<a refstr=SAUNDERS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...81S/abstract target=ref>Saunders et al. 2024</a>,5.7987,0.0004,,,14.392,1.098,1.635,0.032,0.091,0.016,,,,,7.17,0.35,0.056,0.00074,<a refstr=SAUNDERS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...81S/abstract target=ref>Saunders et al. 2024</a>,,6223.0,100.0,2.34,0.06,1.55,0.06,0.37,0.06,0.799,0.0195,3.89,0.02,2.31,0.385,10.4,1.0,,,2024-08-16
TRAPPIST-1 b,15.0,28.0,,,2020ApJ...890L..27H,1,7,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,1.510826,6e-06,0.01154,0.0001,1.116,0.013000000000000001,0.00432,0.00022,,,4.15,0.16,,,20.843,0.1245,0.0859,0.00037,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566.0,26.0,0.12,0.0,0.09,0.0,,,-3.257,0.015,5.24,0.01,,,,,,,2022-11-14
TRAPPIST-1 e,9.0,48.0,,,2020ApJ...890L..27H,1,7,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,6.101013,3.5e-05,0.02925,0.0025,0.92,0.0125,0.00218,7e-05,,,0.65,0.03,,,52.855,0.3155,0.07079,0.00055,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566.0,26.0,0.12,0.0,0.09,0.0,,,-3.257,0.015,5.24,0.01,,,,,,,2022-11-14
TRAPPIST-1 f,21.0,32.0,,,2020ApJ...890L..27H,1,7,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,9.20754,3.2e-05,0.03849,0.00033,1.045,0.0125,0.00327,0.0001,,,0.37,0.01,,,69.543,0.41500000000000004,0.0804,0.00047,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566.0,26.0,0.12,0.0,0.09,0.0,,,-3.257,0.015,5.24,0.01,,,,,,,2022-11-14
TrES-1 b,30.0,21.0,,,2007PASJ...59..763N,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.03007,8e-06,,,12.666,0.673,0.84,0.11,0.0,0.0,,,,,10.48,0.28,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5230.0,50.0,0.85,0.05,1.04,0.19,0.02,0.02,,,4.57,0.01,,,,,,,2018-04-25
TrES-2 b,9.0,12.0,,,2008ApJ...682.1283W,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.47063,1e-05,,,15.244,0.897,1.49,0.22,0.0,0.0,,,,,7.64,0.3,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5850.0,50.0,1.12,0.07,1.36,0.3,-0.15,0.15,,,4.43,0.02,,,,,,,2018-04-25
TrES-4 b,6.3,4.7,,,2010PASJ...62..653N,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.55395,7.5e-05,,,18.046,2.018,0.78,0.19,0.0,0.0,,,,,6.04,0.23,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6200.0,75.0,1.66,0.19,1.08,0.38,0.14,0.14,,,4.06,0.02,,,,,,,2018-04-25
V1298 Tau b,4.0,8.5,8.0,5.5,2022AJ....163..247J,3,4,0,<a refstr=DAVID_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...885L..12D/abstract target=ref>David et al. 2019</a>,24.1396,0.0018,0.1688,0.0026,10.27,0.5549999999999999,,,0.29,0.29,35.0,5.0,677.0,22.0,27.0,1.1,0.07,0.0023,<a refstr=DAVID_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...885L..12D/abstract target=ref>David et al. 2019</a>,,5050.0,100.0,1.34,0.055,1.1,0.05,,,,,,,0.023,0.004,,,2.87,0.02,2019-10-18
V1298 Tau c,4.9,15.05,,,2021AJ....162..213F,3,4,0,<a refstr=DAVID_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...885L..12D/abstract target=ref>David et al. 2019</a>,8.24958,0.00072,0.0825,0.0013,5.59,0.33999999999999997,,,0.43,0.43,146.0,20.0,968.0,31.0,13.19,0.55,0.0381,0.0017,<a refstr=DAVID_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...885L..12D/abstract target=ref>David et al. 2019</a>,,5050.0,100.0,1.34,0.055,1.1,0.05,,,,,,,0.023,0.004,,,2.87,0.02,2019-10-18
WASP-1 b,59.0,62.5,,,2011ApJ...738...50A,2,1,0,<a refstr=MACIEJEWSKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AcA....64...27M/abstract target=ref> Maciejewski et al. 2014</a>,2.5199454,5e-07,0.03889,0.0006299999999999999,16.623,0.325,0.854,0.0545,0.0,0.0,,,,,5.687,0.0475,0.10362,0.000745,<a refstr=MACIEJEWSKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AcA....64...27M/abstract target=ref> Maciejewski et al. 2014</a>,,6160.0,64.0,1.47,0.025,1.24,0.060000000000000005,,,0.441,0.0395,,,3.4,0.8999999999999999,,,,,2014-05-14
WASP-3 b,5.0,5.5,,,2010A+A...523A..52M,3,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1.84683,2e-06,,,15.917,1.906,2.43,0.53,0.0,0.0,,,,,5.18,0.35,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6400.0,100.0,1.44,0.12,1.62,0.53,0.0,0.0,,,4.25,0.05,,,,,,,2019-04-01
WASP-4 b,4.0,38.5,,,2010A+A...524A..25T,1,1,0,<a refstr=BOUMA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..217B/abstract target=ref>Bouma et al. 2019</a>,1.33823147,2e-08,0.0226,0.00075,14.807,0.437,1.186,0.094,0.0,0.0,,,,,5.451,0.0375,0.15201,0.000365,<a refstr=BOUMA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..217B/abstract target=ref>Bouma et al. 2019</a>,,5400.0,90.0,0.89,0.03,0.86,0.08499999999999999,-0.07,0.19,,,4.47,0.11,7.0,7.0,,,,,2019-08-09
WASP-5 b,12.1,9.0,,,2010A+A...524A..25T,1,1,0,<a refstr=GILLON_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..259G/abstract target=ref> Gillon et al. 2009 </a>,1.6284279,3.55e-06,0.0267,0.001,12.184,0.779,1.58,0.115,0.038,0.022,,,1706.0,50.0,,,,,<a refstr=GILLON_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..259G/abstract target=ref> Gillon et al. 2009 </a>,,5700.0,100.0,1.03,0.065,0.96,0.11,0.09,0.09,,,4.39,0.04,5.4,4.35,3.5,1.0,,,2014-10-29
WASP-6 b,7.2,3.7,,,2015MNRAS.450.1760T,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.36101,2.8e-06,,,11.545,1.121,0.37,0.08,0.05,0.02,,,,,10.62,0.41,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5450.0,100.0,0.73,0.07,0.55,0.17,-0.2,0.2,,,4.6,0.2,,,,,,,2018-09-04
WASP-7 b,86.0,6.0,,,2012ApJ...744..189A,1,1,0,<a refstr=SOUTHWORTH_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...527A...8S/abstract target=ref> Southworth et al. 2011 </a>,4.9546416,3.5e-06,0.0617,0.0011,14.908,1.042,0.96,0.13,,,,,1487.0,48.0,9.074,0.504,0.0956,0.0016,<a refstr=SOUTHWORTH_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...527A...8S/abstract target=ref> Southworth et al. 2011 </a>,,6400.0,100.0,1.43,0.09,1.28,0.07,0.0,0.1,,,4.23,0.05,2.4,1.0,,,,,2018-05-14
WASP-8 b,143.0,1.55,,,2017A+A...599A..33B,2,2,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,8.15872,1.5e-05,,,12.666,0.56,2.54,0.33,0.31,0.0,,,,,18.28,0.91,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5600.0,80.0,1.03,0.04,1.34,0.26,0.17,0.17,,,4.5,0.1,,,,,,,2018-10-24
WASP-11 b,7.0,5.0,,,2015A+A...579A.136M,3,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.72247,7e-06,,,12.442,1.121,0.79,0.17,0.0,0.0,,,,,12.71,0.64,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4800.0,100.0,0.89,0.08,1.42,0.43,0.0,0.0,,,4.45,0.2,,,,,,,2018-04-25
WASP-12 b,59.0,17.5,,,2012ApJ...757...18A,3,1,0,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,1.09142,1.4e-07,0.0232,0.00064,21.712,0.628,1.465,0.079,,,,,2592.6,57.2,3.0,0.00895,0.117,0.0002,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,,6360.0,140.0,1.66,0.05,1.43,0.11,,,,,,,,,,,,,2019-07-08
WASP-13 b,8.0,12.5,,,2014MNRAS.440.3392B,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.35301,3e-06,,,13.675,1.569,0.36,0.09,0.0,0.0,,,,,7.35,0.26,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5950.0,70.0,1.37,0.15,0.72,0.25,0.0,0.0,,,4.06,0.1,,,,,,,2018-04-25
WASP-14 b,33.1,7.4,,,2009PASP..121.1104J,3,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.24375,1e-05,,,15.468,0.897,8.84,1.4,0.09,0.0,,,,,6.05,0.34,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6475.0,100.0,1.4,0.08,1.62,0.39,0.0,0.0,,,4.07,0.2,,,,,,,2018-04-25
WASP-15 b,139.6,4.75,,,2010A+A...524A..25T,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.7521,1e-05,,,15.805,4.035,0.54,0.29,0.0,0.0,,,,,7.29,0.38,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6300.0,100.0,1.48,0.38,1.18,0.93,-0.17,0.17,,,4.35,0.15,,,,,,,2018-04-25
WASP-16 b,4.2,12.45,,,2012MNRAS.423.1503B,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.1186,1.4e-05,,,13.675,1.121,1.24,0.25,0.0,0.0,,,,,9.52,0.57,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5700.0,150.0,1.14,0.09,1.78,0.54,0.01,0.01,,,4.49,0.04,,,,,,,2018-04-25
